"General","Done","To do","Tier","task","cost","reward res","reward exp","cp prod","pop","balance","Exp","Cp","Pop"
"Send hero on the shortest adventure to get a horse. Then smash animals!","FALSE","Open Gold menu","1","1","","1200","20","","","3000","","",""
"","TRUE","Main Building","1","to 1","","600","10","2","2","4200","0","2","2"
"","TRUE","Woodcutters","1","1x to 2","","600","10","1","3","4800","10","3","5"
"","TRUE","Croplands","1","1x to 2","","600","10","1","0","5400","20","4","5"
"Activate 25% resc production bonus.","TRUE","Rally Point","1","to 1","","600","10","1","1","6000","30","5","6"
"","FALSE","Clay pits","1","1x to 2","420","600","10","1","3","6180","40","6","9"
"Put points in strength according to the amount of oasis you can raid.
0 oasis: max 2 points 
1-5 oasis: 8/12 points
6+ oasis: 12(+) points
Use the rewards to level up your hero to full health after smashing animals. Put the rest in resc production. 
The chances of using your hero for 24h are very small and putting some extra points in resc production helps generating more resc when your hero can't clear any oasis anymore.","FALSE","Iron mines","1","1x to 2","720","600","10","1","5","6060","50","7","14"
"","FALSE","Even growth","1","1x of all to 2","","300","5","","","6660","60","7","14"
"","FALSE","Granary","1","to 1","270","300","5","1","1","6690","65","8","15"
"","FALSE","Warehouse","1","to 1","420","300","5","1","1","6570","70","9","16"
"","FALSE","Main Building","2","to 3","555","1200","20","1","2","6315","75","10","18"
"","FALSE","Granary","2","to 3","790","600","10","1","2","6725","95","11","20"
"","FALSE","Marketplace","1","to 1","340","600","10","4","4","6985","105","15","24"
"","FALSE","Marketplace","2","to 3","990","1200","20","1","4","6595","115","16","28"
"","FALSE","All croplands","1","all to 2","3325","900","15","5","0","4470","135","21","28"
"","FALSE","Embassy","1","to 1","540","1200","20","5","3","4830","150","26","31"
"","FALSE","Cranny","1","to 1","130","300","5","1","0","5900","170","27","31"
"","FALSE","Cranny","2","to 3","380","600","10","1","0","5820","175","28","31"
"","FALSE","City wall","1","to 1","400","600","10","1","0","6020","185","29","31"
"","FALSE","City wall","2","to 3","1170","1200","20","1","0","5450","195","30","31"
"","FALSE","All woodcutters","1","all to 2","1995","900","15","3","9","4655","215","33","40"
"Raid Oasis until you need to walk 1h+, of which you are sure you will clear the animals, after that considor to do adventure 2 (resc bounty). Adventure gives about 2300 resc.","FALSE","All clay pits","1","all to 2","2010","900","15","3","9","3545","230","36","49"
"","FALSE","All iron mines","1","all to 2","2175","900","15","3","15","2270","245","39","64"
"","FALSE","Complete economy","1","all res to 2","","2400","40","","","3170","260","39","64"
"","FALSE","Population","1","50","","1500","25","","","5570","300","39","64"
"","FALSE","Warehouse","2","to 3","1220","600","10","1","2","5850","325","40","66"
"","FALSE","Barracs","1","to 1","730","600","10","1","4","5720","335","41","70"
"Continue to raid oasis until 2h+ walkig time, then you should consider to put almost all points in resc production with the book of wisdom for hero. Book is obtained in adventure 6, usually comes within 24h after starting.","FALSE","Woodcutters","2","1x to 4","1860","1200","20","1","2","4460","345","42","72"
"","FALSE","Croplands","2","1x to 4","1860","1200","20","1","0","3800","365","43","72"
"","FALSE","Clay pits","2","1x to 4","1870","1200","20","1","2","3130","385","44","74"
"","FALSE","Iron mines","2","1x to 4","2015","1200","20","1","4","2315","405","45","78"
"","FALSE","Even growth","2","1x of all to 4","","600","10","","","3515","425","45","78"
"","FALSE","Cranny","3","to 6","1065","900","15","1","1","3050","435","46","79"
